Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Abies concolor,Adelges piceae,,,,,Acer ginnala,Cabomba caroliniana,Class A,,,,,,,,,,
Acer campestre,Adelges tsugae,,,,,Acer platanoides,Egeria densa,Class A,,,,,,,,,,
Acer ginnala,Agrilus planipennis,,,,,Aegopodium podagraria,Hydrilla verticillata,Class A,,,,,,,,,,
Acer platanoides,Alosa pseudoharengus,,,,,Ailanthus altissima,Hygrophila polysperma,Class A,,,,,,,,,,
Achillea filipendulina,Anoplophora glabripennis,,,,,Alliaria petiolata (A. officinalis) ,Myriophyllum aquaticum,Class A,,,,,,,,,,
Aegopodium podagraria,Bythotrephes longimanus,,,,,Berberis thunbergii,Myriophyllum heterophyllum,Class A,,,,,,,,,,
Aesculus hippocastanum,Corbicula fluminea,,,,,Berberis vulgaris,Salvinia auriculata,Class A,,,,,,,,,,
Ailanthus altissima,Dreissena rostriformis bugensis,,,,,Butomus umbellatus,Salvinia biloba,Class A,,,,,,,,,,
Ajuga reptans,Dressena polymorpha,,,,,Celastrus orbiculatus,Salvinia herzogii,Class A,,,,,,,,,,
Alliaria petiolata (A. officinalis) ,Fiorinia externa,,,,,Euonymous alatus,Salvinia molesta,Class A,,,,,,,,,,
Alnus glutinosa,Lycorma delicatula,,,,,Fallopia japonica (syn: Polygonum cuspidatum),Vincetoxicum hirundinaria,Class A,,,,,,,,,,
Amaranthus powellii,Lymantria dispar,,,,,Hydrocharis morsus-ranae,Abies concolor,VT Flora North America,,,,,,,,,,
Amorpha fruticosa,Operophtera brumata,,,,,Iris pseudacorus,Amaranthus powellii,VT Flora North America,,,,,,,,,,
Ampelopsis brevipedunculata (syn: glandulosa),Pheretima sp.,,,,,Lonicera japonica,Anthoxanthum nitens,VT Flora North America,,,,,,,,,,
Anthoxanthum nitens,Potamopyrgus antipodarum,,,,,Lonicera maackii,Bouteloua gracilis,VT Flora North America,,,,,,,,,,
Anthriscus cerefolium,Sirex noctilio,,,,,Lonicera morrowii,Carex praegracilis,VT Flora North America,,,,,,,,,,
Anthriscus sylvestris,Taeniothrips inconsequens,,,,,Lonicera tatarica,Catalpa speciosa,VT Flora North America,,,,,,,,,,
Antirrhinum majus,,,,,,Lonicera x bella,Diplachne fusca ssp. Fasicularis,VT Flora North America,,,,,,,,,,
Arabis alpina,,,,,,Lythrum salicaria,Echinacea purpurea,VT Flora North America,,,,,,,,,,
Aurinia saxatilis,,,,,,Myriophyllum spicatum,Froelicha gracilis,VT Flora North America,,,,,,,,,,
Barbarea stricta,,,,,,Najas minor,Gilia achilleifolia ssp. Multicaulis,VT Flora North America,,,,,,,,,,
Bellis perennis,,,,,,Nymphoides peltata,Goodyera oblongifolia,VT Flora North America,,,,,,,,,,
Berberis koreana,,,,,,Phragmites australis ssp. Australis,Helianthus grosseserratus,VT Flora North America,,,,,,,,,,
Berberis thunbergii,,,,,,Potamogeton crispus,Humulus lupulus var. lupuloides,VT Flora North America,,,,,,,,,,
Berberis vulgaris,,,,,,Rhamnus cathartica,Ipomea hederacea,VT Flora North America,,,,,,,,,,
Betula pubescens,,,,,,Rhamnus frangula (syn: Frangula alnus),Morella caroliniensis,VT Flora North America,,,,,,,,,,
Bouteloua gracilis,,,,,,Trapa natans,Oenothera villosa,VT Flora North America,,,,,,,,,,
Bromus squarrosus,,,,,,Vincetoxicum nigrum (syn: Cynanchum louiseae),Phlox bifida,VT Flora North America,,,,,,,,,,
Butomus umbellatus,,,,,,,Poa pratensis ssp. Agassizensis,VT Flora North America,,,,,,,,,,
Calamagrostis epigeios ssp. Glomerata,,,,,,,Symphytrichum ciliatum,VT Flora North America,,,,,,,,,,
Cannabis sativa ssp. Indica,,,,,,,Tradescantia bracteata,VT Flora North America,,,,,,,,,,
Cardamine flexuosa,,,,,,,Zea mays,VT Flora North America,,,,,,,,,,
Cardamine hirsuta,,,,,,,Alnus glutinosa,VTinvasives.org Plants,,,,,,,,,,
Cardamine impatiens,,,,,,,Amorpha fruticosa,VTinvasives.org Plants,,,,,,,,,,
Carex flacca,,,,,,,Ampelopsis brevipedunculata (syn: glandulosa),VTinvasives.org Plants,,,,,,,,,,
Carex hirta,,,,,,,Anthriscus sylvestris,VTinvasives.org Plants,,,,,,,,,,
Carex praegracilis,,,,,,,Cardamine impatiens,VTinvasives.org Plants,,,,,,,,,,
Carex spicata,,,,,,,Celastrus orbiculatus,VTinvasives.org Plants,,,,,,,,,,
Catalpa speciosa,,,,,,,Centaurea stoebe,VTinvasives.org Plants,,,,,,,,,,
Celastrus orbiculatus,,,,,,,Cynanchum rossicum,VTinvasives.org Plants,,,,,,,,,,
Centaurea stoebe,,,,,,,Elaeagnus angustifolia,VTinvasives.org Plants,,,,,,,,,,
Centaurium pulchellum,,,,,,,Elaeagnus umbellata,VTinvasives.org Plants,,,,,,,,,,
