"species","year","cum_species"
"Aronia melanocarpa",1697,1
"Falcipennis canadensis",1750,2
"Leucodon julaceus",1800,9
"Stagnicola palustris",1800,9
"Hypnum pallescens",1800,9
"Puccinia fraxinata",1800,9
"Rattus norvegicus",1800,9
"Mephitis mephitis",1800,9
"Lymnaea stagnalis",1800,9
"Botrychium simplex",1804,10
"Morus alba",1806,11
"Agaricus androsaceus",1811,12
"Carex scirpoidea",1813,13
"Equisetum scirpoides",1814,14
"",1816,18
"Myosotis laxa",1816,18
"Carpinus caroliniana",1816,18
"Cerastium arvense",1816,18
"Lithobates pipiens",1818,21
"Peromyscus maniculatus",1818,21
"Lithobates clamitans",1818,21
"Justicia americana",1819,22
"Typha angustifolia",1823,23
"Carex lacustris",1824,25
"Menegazzia terebrata",1824,25
"Datura stramonium",1826,28
"Crutarndina petractoides",1826,28
"Zizania palustris",1826,28
"Cladonia rangiferina",1827,29
"Solidago ptarmicoides",1829,30
"Vicia tetrasperma",1830,31
"Acarospora glaucocarpa",1832,33
"Thamnophis sirtalis",1832,33
"Carex sprengelii",1834,35
"Carex communis",1834,35
"Umbilicaria americana",1835,36
"Chrysemys picta",1839,39
"Storeria dekayi",1839,39
"Microtus pennsylvanicus",1839,39
"Esox masquinongy",1840,40
"Astragalus robbinsii",1841,41
"Carex siccata",1842,42
"Hudsonia tomentosa",1844,44
"Chamaedaphne calyculata",1844,44
"Setaria italica",1845,46
"Sparganium angustifolium",1845,46
"Carex tribuloides",1846,47
"Clinostomus elongatus",1847,50
"Esox lucius",1847,50
"Semotilus atromaculatus",1847,50
"Epilobium ciliatum",1848,60
"Epilobium leptophyllum",1848,60
"Epilobium coloratum",1848,60
"Echinochloa crus-galli",1848,60
"Sparganium americanum",1848,60
"Solidago canadensis",1848,60
"Bombus vagans",1848,60
"Rorippa palustris",1848,60
"Epilobium angustifolium",1848,60
"Epilobium strictum",1848,60
"Equisetum hyemale",1849,61
"Colaptes auratus",1850,72
"Poecile atricapillus",1850,72
"Sander canadensis",1850,72
"Sayornis phoebe",1850,72
"Psora pseudorussellii",1850,72
"Umbilicaria muhlenbergii",1850,72
"Phaeophyscia ciliata",1850,72
"Calliergon cordifolium",1850,72
"Fuscocephaloziopsis catenulata",1850,72
"Sialia sialis",1850,72
"Ectopistes migratorius",1850,72
"Platismatia glauca",1851,93
"Melanelia stygia",1851,93
"Cetraria islandica",1851,93
"Dermatocarpon muhlenbergii",1851,93
"Lobaria pulmonaria",1851,93
"Tuckermanopsis ciliaris",1851,93
"Ditrichum lineare",1851,93
"Leptogium corticola",1851,93
"Peltigera hydrothyria",1851,93
"Pertusaria pertusa",1851,93
"Umbilicaria torrefacta",1851,93
"Umbilicaria proboscidea",1851,93
"Umbilicaria polyphylla",1851,93
"Punctelia rudecta",1851,93
"Physcia tribacia",1851,93
"Umbilicaria hyperborea",1851,93
"Bryoria fremontii",1851,93
"Scoliciosporum umbrinum",1851,93
"Hypogymnia physodes",1851,93
"Carex pauciflora",1851,93
"Polycauliona polycarpa",1851,93
"Umbra limi",1852,102
"Usnea hirta",1852,102
"Biatora vernalis",1852,102
"Diplotomma alboatrum",1852,102
"Rinodina sophodes",1852,102
"Gonohymenia melamphylla",1852,102
"Cyperus bipartitus",1852,102
"Usnea trichodea",1852,102
"Platismatia tuckermanii",1852,102
