"species","year","cum_species"
"Aronia melanocarpa",1697,1
"Falcipennis canadensis",1750,2
"Stagnicola palustris",1800,8
"Mephitis mephitis",1800,8
"Rattus norvegicus",1800,8
"Hypnum pallescens",1800,8
"Leucodon julaceus",1800,8
"Puccinia fraxinata",1800,8
"Botrychium simplex",1804,9
"Morus alba",1806,10
"Agaricus androsaceus",1811,11
"Carex scirpoidea",1813,12
"Equisetum scirpoides",1814,13
"Carpinus caroliniana",1816,17
"",1816,17
"Myosotis laxa",1816,17
"Cerastium arvense",1816,17
"Peromyscus maniculatus",1818,20
"Lithobates pipiens",1818,20
"Lithobates clamitans",1818,20
"Justicia americana",1819,21
"Typha angustifolia",1823,22
"Menegazzia terebrata",1824,24
"Carex lacustris",1824,24
"Crutarndina petractoides",1826,27
"Zizania palustris",1826,27
"Datura stramonium",1826,27
"Cladonia rangiferina",1827,28
"Solidago ptarmicoides",1829,29
"Vicia tetrasperma",1830,30
"Thamnophis sirtalis",1832,32
"Acarospora glaucocarpa",1832,32
"Carex sprengelii",1834,34
"Carex communis",1834,34
"Umbilicaria americana",1835,35
"Microtus pennsylvanicus",1839,38
"Storeria dekayi",1839,38
"Chrysemys picta",1839,38
"Astragalus robbinsii",1841,39
"Carex siccata",1842,40
"Chamaedaphne calyculata",1844,42
"Hudsonia tomentosa",1844,42
"Sparganium angustifolium",1845,44
"Setaria italica",1845,44
"Carex tribuloides",1846,45
"Semotilus atromaculatus",1847,47
"Clinostomus elongatus",1847,47
"Epilobium coloratum",1848,57
"Echinochloa crus-galli",1848,57
"Epilobium leptophyllum",1848,57
"Epilobium strictum",1848,57
"Solidago canadensis",1848,57
"Epilobium angustifolium",1848,57
"Rorippa palustris",1848,57
"Sparganium americanum",1848,57
"Epilobium ciliatum",1848,57
"Bombus vagans",1848,57
"Equisetum hyemale",1849,58
"Psora pseudorussellii",1850,69
"Sayornis phoebe",1850,69
"Sander canadensis",1850,69
"Ectopistes migratorius",1850,69
"Poecile atricapillus",1850,69
"Sialia sialis",1850,69
"Calliergon cordifolium",1850,69
"Umbilicaria muhlenbergii",1850,69
"Phaeophyscia ciliata",1850,69
"Colaptes auratus",1850,69
"Fuscocephaloziopsis catenulata",1850,69
"Cetraria islandica",1851,90
"Umbilicaria proboscidea",1851,90
"Dermatocarpon muhlenbergii",1851,90
"Hypogymnia physodes",1851,90
"Physcia tribacia",1851,90
"Lobaria pulmonaria",1851,90
"Carex pauciflora",1851,90
"Pertusaria pertusa",1851,90
"Peltigera hydrothyria",1851,90
"Tuckermanopsis ciliaris",1851,90
"Umbilicaria polyphylla",1851,90
"Ditrichum lineare",1851,90
"Scoliciosporum umbrinum",1851,90
"Platismatia glauca",1851,90
"Bryoria fremontii",1851,90
"Umbilicaria torrefacta",1851,90
"Melanelia stygia",1851,90
"Umbilicaria hyperborea",1851,90
"Polycauliona polycarpa",1851,90
"Punctelia rudecta",1851,90
"Leptogium corticola",1851,90
"Biatora vernalis",1852,98
"Cyperus bipartitus",1852,98
"Usnea trichodea",1852,98
"Diplotomma alboatrum",1852,98
"Rinodina sophodes",1852,98
"Gonohymenia melamphylla",1852,98
"Usnea hirta",1852,98
"Platismatia tuckermanii",1852,98
"Calopogon tuberosus",1853,108
"Thelypteris noveboracensis",1853,108
"Fissidens adianthoides",1853,108
