"","class","kingdom","total_species"
"1","","Animalia",193
"2","Actinopterygii","Animalia",103
"3","Adenophorea","Animalia",4
"4","Amphibia","Animalia",24
"5","Anthozoa","Animalia",6
"6","Arachnida","Animalia",1
"7","Aves","Animalia",414
"8","Bivalvia","Animalia",54
"9","Branchiopoda","Animalia",12
"10","Cephalaspidomorphi","Animalia",4
"11","Cephalopoda","Animalia",54
"12","Cestoda","Animalia",3
"13","Chilopoda","Animalia",7
"14","Clitellata","Animalia",17
"15","Collembola","Animalia",58
"16","Craniata","Animalia",1
"17","Crinoidea","Animalia",1
"18","Demospongiae","Animalia",5
"19","Diplopoda","Animalia",16
"20","Eurotatoria","Animalia",6
"21","Gastropoda","Animalia",189
"22","Gordioida","Animalia",1
"23","Gymnolaemata","Animalia",1
"24","Hexactinellida","Animalia",1
"25","Hexanauplia","Animalia",4
"26","Hoplonemertea","Animalia",1
"27","Hydrozoa","Animalia",2
"28","Insecta","Animalia",4225
"29","Lingulata","Animalia",3
"30","Malacostraca","Animalia",21
"31","Mammalia","Animalia",70
"32","Maxillopoda","Animalia",1
"33","Monoplacophora","Animalia",7
"34","Ophiuroidea","Animalia",1
"35","Ostracoda","Animalia",1
"36","Palaeacanthocephala","Animalia",1
"37","Phylactolaemata","Animalia",3
"38","Polychaeta","Animalia",4
"39","Priapulida","Animalia",1
"40","Pterobranchia","Animalia",1
"41","Pycnogonida","Animalia",1
"42","Reptilia","Animalia",24
"43","Rhynchonellata","Animalia",20
"44","Secernentea","Animalia",17
"45","Staurozoa","Animalia",1
"46","Stenolaemata","Animalia",18
"47","Trematoda","Animalia",7
"48","Trilobita","Animalia",56
"49","","Archaea",1
"50","Nitrososphaeria","Archaea",1
"51","Thermoplasmata","Archaea",1
"52","","Bacteria",1
"53","Acidimicrobiia","Bacteria",1
"54","Acidobacteriae","Bacteria",1
"55","Actinomycetia","Bacteria",2
"56","Alphaproteobacteria","Bacteria",4
"57","Anaerolineae","Bacteria",1
"58","Bacilli","Bacteria",1
"59","Bacteriovoracia","Bacteria",1
"60","Bacteroidia","Bacteria",4
"61","Bdellovibrionia","Bacteria",1
"62","Blastocatellia","Bacteria",1
"63","Campylobacteria","Bacteria",1
"64","Chlamydiia","Bacteria",1
"65","Chloroflexia","Bacteria",1
"66","Clostridia","Bacteria",1
"67","Clostridia_A","Bacteria",1
"68","Coriobacteriia","Bacteria",1
"69","Cyanobacteriia","Bacteria",23
"70","Dehalococcoidia","Bacteria",1
"71","Deinococci","Bacteria",1
"72","Desulfovibrionia","Bacteria",1
"73","Desulfuromonadia","Bacteria",1
"74","Elusimicrobia","Bacteria",1
"75","Fibrobacteria","Bacteria",1
"76","Fimbriimonadia","Bacteria",1
"77","Fusobacteriia","Bacteria",1
"78","Gammaproteobacteria","Bacteria",5
"79","Gemmatimonadetes","Bacteria",1
"80","Holophagae","Bacteria",1
